name,aggmiv,max20aggmiv,kalaggmiv,aggoev,max30aggoev,kalaggoev,kernmiv,max30miv,kalkernmiv,kernoev,max40oev,kalkernoev,lat,lon,x,y
Marchissy VD,26,1.3,1,55,1.83,1,26,0.87,0.87,55,1.375,1,46.501468658447266,6.217404365539551,150748.875,506257.4375
Mollens VD,24,1.2,1,64,2.13,1,24,0.8,0.8,64,1.6,1,46.57592010498047,6.363043308258057,158860.359375,517549.625
Montherod VD,18,0.9,0.9,31,1.03,1,18,0.6,0.6,31,0.775,0.78,46.506046295166016,6.351491928100586,151106.140625,516556.40625
Pizy VD,19,0.95,0.95,43,1.43,1,19,0.63,0.63,43,1.075,1,46.49113464355469,6.353170871734619,149446.59375,516662.3125
Saint-George VD,27,1.35,1,55,1.83,1,27,0.9,0.9,55,1.375,1,46.52167510986328,6.259310245513916,152945.375,509507.71875
Saint-Livres VD,19,0.95,0.95,40,1.33,1,19,0.63,0.63,40,1,1,46.516624450683594,6.381496429443359,152250.359375,518875.125
Saint-Oyens VD,24,1.2,1,47,1.57,1,24,0.8,0.8,47,1.175,1,46.49415969848633,6.297299385070801,149843.8125,512377.9375
Saubraz VD,21,1.05,1,60,2,1,21,0.7,0.7,60,1.5,1,46.51904296875,6.325521945953369,152578.546875,514583.78125
Avenches VD,17,0.85,0.85,28,0.93,0.93,24,0.8,0.8,36,0.9,0.9,46.87770080566406,7.04623556137085,191917.40625,570087.5625
Bellerive VD,22,1.1,1,46,1.53,1,27,0.9,0.9,66,1.65,1,46.451622009277344,6.326356887817383,145083.703125,514541.40625
Chabrey VD,21,1.05,1,57,1.9,1,26,0.87,0.87,79,1.975,1,46.92686462402344,6.981594562530518,197409.515625,565191.9375
Champmartin VD,21,1.05,1,61,2.03,1,30,1,1,79,1.975,1,46.652587890625,6.802343845367432,167014.90625,551292.6875
Constantine VD,22,1.1,1,55,1.83,1,25,0.83,0.83,69,1.725,1,46.918701171875,7.011473655700684,196489.40625,567462.625
Cudrefin VD,17,0.85,0.85,70,2.33,1,27,0.9,0.9,77,1.925,1,46.95536422729492,7.03364896774292,200556.15625,569172.8125
Donatyre VD,14,0.7,0.7,25,0.83,0.83,23,0.77,0.77,60,1.5,1,46.87657928466797,7.0571794509887695,191788.703125,570921.1875
Faoug VD,17,0.85,0.85,34,1.13,1,20,0.67,0.67,37,0.925,0.93,46.9034309387207,7.072769641876221,194768.0625,572123.625
Montmagny VD,20,1,1,49,1.63,1,26,0.87,0.87,72,1.8,1,46.926578521728516,7.010726451873779,197365.296875,567410.4375
Mur VD,18,0.9,0.9,49,1.63,1,25,0.83,0.83,79,1.975,1,46.690364837646484,6.8086419105529785,171210.703125,551808.625
Oleyres VD,18,0.9,0.9,53,1.77,1,25,0.83,0.83,86,2.15,1,46.854637145996094,7.037657737731934,189356.8125,569420.5625
Vallamand VD,19,0.95,0.95,63,2.1,1,26,0.87,0.87,72,1.8,1,46.93172073364258,7.0391411781311035,197925.515625,569577.4375
Villars-le-Grand VD,20,1,1,55,1.83,1,24,0.8,0.8,62,1.55,1,46.90577697753906,6.990263938903809,195061.640625,565838.8125
Bettens VD,10,0.5,0.5,36,1.2,1,10,0.33,0.33,36,0.9,0.9,46.62347412109375,6.5740437507629395,163946.515625,533781.5625
Bournens VD,12,0.6,0.6,26,0.87,0.87,12,0.4,0.4,26,0.65,0.65,46.608985900878906,6.564404010772705,162343.828125,533025.375
Boussens VD,7,0.35,0.35,21,0.7,0.7,7,0.23,0.23,21,0.525,0.53,46.604209899902344,6.5854387283325195,161795.140625,534630.9375
La Chaux (Cossonay) VD,16,0.8,0.8,30,1,1,16,0.53,0.53,30,0.75,0.75,46.624080657958984,6.468286037445068,164108.59375,525682.9375
Chavannes-le-Veyron VD,19,0.95,0.95,34,1.13,1,19,0.63,0.63,34,0.85,0.85,46.60834884643555,6.446771621704102,162380.359375,524013.15625
Chevilly VD,18,0.9,0.9,36,1.2,1,18,0.6,0.6,36,0.9,0.9,46.64320373535156,6.472193241119385,166230.734375,526008.375
Cossonay VD,17,0.85,0.85,25,0.83,0.83,17,0.57,0.57,25,0.625,0.63,46.6125602722168,6.501434326171875,162797.3125,528206.25
Cottens VD,17,0.85,0.85,38,1.27,1,17,0.57,0.57,38,0.95,0.95,46.57402801513672,6.45326566696167,158559.125,524462.625
Cuarnens VD,19,0.95,0.95,38,1.27,1,19,0.63,0.63,38,0.95,0.95,46.63195037841797,6.4360527992248535,165014.609375,523225.625
Daillens VD,12,0.6,0.6,32,1.07,1,12,0.4,0.4,32,0.8,0.8,46.62882995605469,6.549063682556152,164563.203125,531875.25
Dizy VD,16,0.8,0.8,35,1.17,1,16,0.53,0.53,35,0.875,0.88,46.63409423828125,6.4964141845703125,165195.265625,527850.5
Eclépens VD,16,0.8,0.8,19,0.63,0.63,16,0.53,0.53,23,0.575,0.58,46.65207290649414,6.539677619934082,167154.78125,531186.125
Ferreyres VD,21,1.05,1,35,1.17,1,21,0.7,0.7,35,0.875,0.88,46.65995788574219,6.480908393859863,168084.75,526698.375
