Name,Y-Koord.,X-Koord.,Höhe,Verkehrsmittel
"Allenlüften, Dorf",587.305,199.466,638,Bus
"Allens, village",528.825,161.375,546,Bus
Allensbach,722.14,286.23,403,Zug
"Allenwinden, Dorf",684.68,224.32,709,Bus
"Allenwinden, Egg",684.52,224.9,709,Bus
"Allenwinden, Grüt",684.53,224.56,682,Bus
"Allenwinden, Inkenberg",684.2,225.57,709,Bus
"Allenwinden, St. Meinrad",684.89,223.81,709,Bus
"Allerheiligenberg, Höhenklinik",628.364,244.681,883,Bus
"Allerheiligenberg, Rank",628.662,243.795,865,Bus
"Allerheiligenberg, Rest. Aller",628.653,244.65,855,Bus
Allières,566.915,146.59,1006,Zug
Allmenalp,616.185,149.019,1732,Luftseilbahn
Allmend,637.805,160.426,1509,Zahnradbahn
Allmendhubel (Standseilbahn),634.537,157.05,1907,Standseilbahn
"Allmendingen b. B, Garten-C.",605.747,196.549,566,Bus
"Allmendingen b. B, Hirschen",606.202,196.136,585,Bus
"Allmendingen b. B, Käserei",606.498,195.978,566,Bus
"Allmendingen b.Thun,Wendeplatz",611.803,176.71,586,Bus
"Allmendingen bei Thun, Dorf",611.975,176.916,589,Bus
"Allmendingen bei Thun, RAZ",611.395,176.212,589,Bus
"Allschwil, Bettenacker",608.759,266.654,276,Bus
"Allschwil, Binningerstrasse",607.613,266.827,281,Tram
"Allschwil, Dorf",607.372,266.716,287,Tram
"Allschwil, Friedhof",607.457,267.024,279,Bus
"Allschwil, Gartenhof",607.911,266.469,283,Bus
"Allschwil, Gartenstrasse",607.952,266.874,287,Tram
"Allschwil, Grabenring",607.749,267.041,278,Bus
"Allschwil, Hagmattstrasse",607.958,267.223,278,Bus
"Allschwil, Im Brühl",608.149,267.396,277,Bus
"Allschwil, Kirche",608.683,267.035,280,Tram
"Allschwil, Kreuzstrasse",608.437,267.648,276,Bus
"Allschwil, Letten",608.153,266.389,283,Bus
"Allschwil, Lindenplatz",609.166,267.446,276,Tram
"Allschwil, Merkurstrasse",608.93,267.239,278,Tram
"Allschwil, Paradies",608.677,266.219,281,Bus
"Allschwil, Parkallee",608.89,266.909,277,Bus
"Allschwil, Reservoir",606.306,266.455,318,Bus
"Allschwil, Rosenberg",607.033,266.716,307,Bus
"Allschwil, Spitzwald",607.859,265.588,340,Bus
"Allschwil, Stegmühleweg",606.821,266.648,314,Bus
"Allschwil, Tramschlaufe",607.362,266.701,287,Bus
"Allschwil, Ziegelei",608.25,266.774,277,Tram
"Allschwil, Ziegelhof",605.537,265.747,340,Bus
"Allschwil, Zum Sporn",608.242,265.823,322,Bus
Almens,754.041,178.323,781,Bus
Alosen,690.95,221.8,879,Bus
Alp Camp,806.071,142.415,2061,Bus
Alp Dado (Bergstation),725.324,183.821,1856,Luftseilbahn
Alp Dado (Talstation Fil),725.326,183.77,1852,Luftseilbahn
Alp Darlux,779.286,166.365,2265,Luftseilbahn
Alp Grüm,799.439,139.226,2091,Zug
Alp Languard,790.639,151.515,2326,Luftseilbahn
Alp Nagens,737.002,190.937,1966,Bus
Alp Naraus,0,0,0,Luftseilbahn
Alp Nouva,791.86,147.776,1880,(Zug)
Alp Pradaschier,758.941,183.44,1724,Luftseilbahn
Alp Sellamatt,740.798,227.355,1395,Luftseilbahn
Alp Stätz,759.865,181.41,1929,Luftseilbahn
Alp Trider Sattel,822.814,206.281,2490,Luftseilbahn
Alpboden,676.262,196.799,1233,Luftseilbahn
"Alpe di Neggia, Alpe",708.762,107.548,1396,Bus
"Alpe di Neggia, Bv. Trecciura",709.034,108.578,988,Bus
